i need to book a table at a food court in nh that serves smelt	O O O O O O O O B-restaurant_type I-restaurant_type O B-state O O B-served_dish
book a table for a party of 7 next year in id	O O O O O O O B-party_size_number B-timeRange I-timeRange O B-state
in twenty three hours and 1 second my daughter and i want to eat at a restaurant	B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-restaurant_type
lets eat at newport creamery in carnot	O O O B-restaurant_name I-restaurant_name O B-city
book a spot at a highly rated afghan restaurant	O O O O O B-sort I-sort B-cuisine B-restaurant_type
reserve a table for my bf and i at montreal pool room in indiahoma	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name O B-city
book reservations at a restaurant for eight people in new jersey	O O O O B-restaurant_type O B-party_size_number O O B-state I-state
i would like to book a food truck with mughlai cuisine in somalia	O O O O O O B-restaurant_type I-restaurant_type O B-cuisine O O B-country
i need a table for 8 people at a restaurant in district of columbia	O O O O O B-party_size_number O O O B-restaurant_type O B-state I-state I-state
can you make reservations for a party of eight in iowa	O O O O O O O O B-party_size_number O B-state
please book a coffeehouse restaurant type room to accommodate gretchen trisha and amber which serves pastelaria dish	O O O B-restaurant_type I-restaurant_type O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-cuisine O
reserve a table for two at a restaurant which serves creole around here in myanmar	O O O O B-party_size_number O O B-restaurant_type O O B-cuisine B-spatial_relation O O B-country
book a restaurant in myanmar for 4	O O B-restaurant_type O B-country O B-party_size_number
book a table for doris and i in new tulsa	O O O O B-party_size_description I-party_size_description I-party_size_description O B-city I-city
book me a reservation for an osteria campanian on jun the 7th 2022	O O O O O O B-restaurant_type B-cuisine O B-timeRange I-timeRange I-timeRange I-timeRange
book a restaurant in swaziland in 1 hour	O O B-restaurant_type O B-country B-timeRange I-timeRange I-timeRange
restaurant scandinavian in grenada	B-restaurant_type B-cuisine O B-country
what is the best restaurant in kentucky for ten at 0 am	O O O B-sort B-restaurant_type O B-state O B-party_size_number O B-timeRange I-timeRange
book a reservation for seven people at a highly rated restaurant that serves moroccan food in east greenville	O O O O B-party_size_number O O O B-sort I-sort B-restaurant_type O O B-cuisine O O B-city I-city
book a spot for 6 in pilot mound palau on feb the twenty-fourth	O O O O B-party_size_number O B-city I-city B-state O B-timeRange I-timeRange I-timeRange
please call and reserve seating for march 6 at a diner in kyrgyzstan	O O O O O O B-timeRange I-timeRange O O B-restaurant_type O B-country
antoinette and i want to eat at an oyster bar that serves pizzette in south duxbury me	B-party_size_description I-party_size_description I-party_size_description O O O O O B-restaurant_type I-restaurant_type O O B-served_dish O B-city I-city B-state
reserve me seating midday at bear hotel	O O O B-timeRange O B-restaurant_name I-restaurant_name
book a table for me and my step uncle in malta at a cafeteria	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-country O O B-restaurant_type
book a irish serving brasserie in az	O O B-cuisine O B-restaurant_type O B-state
i want to take christy louise and alexandra to eat at 17:38:04 anywhere in ne	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-timeRange O O B-state
i need to book the beardslee castle in albania for me cassie and lesley	O O O O O B-restaurant_name I-restaurant_name O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
need a table at the goof in croatia for a party of three	O O O O B-restaurant_name I-restaurant_name O B-country O O O O B-party_size_number
i need to book a theme restaurant this month in chile	O O O O O B-restaurant_name I-restaurant_name B-timeRange I-timeRange O B-country
me and my father in law want go eat gratin at a restaurant	B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-served_dish O O B-restaurant_type
find an outdoor facility for midday in datil at a pub for six	O O B-facility O O B-timeRange O B-city O O B-restaurant_type O B-party_size_number
book a table in greece for 4	O O O O B-country O B-party_size_number
i need a reservation for 2 within walking distance of hoyt st	O O O O O B-party_size_number B-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi
book a restaurant in mcmurray on august seventeenth for marjorie vasquez edith and martina	O O B-restaurant_type O B-city O B-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
i would like to book a restaurant in singapore for nine in 19 hours and 1 second	O O O O O O B-restaurant_type O B-country O B-party_size_number B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange
i want to take me and my crew to the smoking room restaurant	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-facility I-facility B-restaurant_type
i need reservations in nd in the city of briarwood for me and my colleagues	O O O O B-state O O O O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
i need a bakery that serves beef manhattan at midnight for nine	O O O B-restaurant_type O O B-served_dish I-served_dish O B-timeRange O B-party_size_number
book a spot for seven in 8 seconds from now	O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange
make a table reservation at the top-rated brasserie in cotton center	O O O O O O B-sort B-restaurant_type O B-city I-city
i need a reservation for nine at 03:44 am in wi	O O O O O B-party_size_number O B-timeRange I-timeRange O B-state
book osteria restaurant for 1 person in mi	O B-restaurant_type I-restaurant_type O B-party_size_number O O B-state
i want to book at a pub with parking in cuba	O O O O O O B-restaurant_type O B-facility O B-country
in eight years and a half from now i d like a reservation at a top-rated bar	O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange O O O O O O O B-sort B-restaurant_type
book a stuffed ham serving pizzeria in independence corner	O O B-served_dish I-served_dish O B-restaurant_type O B-city I-city
book me an indoor pub in jersey	O O O B-facility B-restaurant_type O B-country
reserve a table for nine people at a caribbean restaurant in white creek utah	O O O O B-party_size_number O O O B-cuisine B-restaurant_type O B-city I-city B-state
book a reservation for a restaurant serving burger in malaysia	O O O O O B-restaurant_type O B-served_dish O B-country
book a table for 7 at a churrascaria that is highly rated	O O O O B-party_size_number O O B-restaurant_type O O B-sort I-sort
i want to eat louisiana fried chicken in mccoll ia	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state
i want to book a highly rated fast food restaurant now	O O O O O B-sort I-sort B-restaurant_type I-restaurant_type I-restaurant_type B-timeRange
book a brasserie for seven in west yellowstone	O O B-restaurant_type O B-party_size_number O B-city I-city
i need a cambodian brasserie restaurant that is top-rated	O O O B-cuisine B-restaurant_type I-restaurant_type O O B-sort
book a table for seven in a pub in iraq which offers gluten free food about 141 days from now	O O O O B-party_size_number O O B-restaurant_type O B-country O O B-cuisine I-cuisine O O B-timeRange I-timeRange I-timeRange I-timeRange
need to book a reservtion for a restaurant in maryland for me and my half sister	O O O O O O O B-restaurant_type O B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
i d like to eat at a restaurant with wifi	O O O O O O O B-restaurant_type O B-facility
can you place a reservation for me at ariston cafe	O O O O O O O O B-restaurant_name I-restaurant_name
book a restaurant in geddes on march the twenty-seventh for me and my husband	O O B-restaurant_type O B-city O B-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
please book reservations for 3 people at a restaurant in alderwood manor	O O O O B-party_size_number O O O B-restaurant_type O B-city I-city
i need a reservation for the original house of pies with three people in plandome manor pa	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number O O B-city I-city B-state
find a popular diner that serves brazilian close by oklahoma for nine people	O O B-sort B-restaurant_type O O B-cuisine B-spatial_relation I-spatial_relation B-state O B-party_size_number O
book a restaurant in north dakota for my child and i on november seventh 2037	O O B-restaurant_type O B-state I-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange I-timeRange
i m looking to book a table at a gastropub that serves vegetarian for me and my team	O O O O O O O O O B-restaurant_type O O B-cuisine O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a table for six at hubbell house in ne	O O O O B-party_size_number O B-restaurant_name I-restaurant_name O B-state
i want to eat panisses the nearby cafeteria in naytahwaush	O O O O B-served_dish O B-spatial_relation B-restaurant_type O B-city
book a table for vermicelli at a restaurant	O O O O B-served_dish O O B-restaurant_type
please book me seating at the food court in hazel green for nine	O O O O O O B-restaurant_type I-restaurant_type O B-city I-city O B-party_size_number
book a table in california for rita and brenda at hurley mountain inn on january the 11th	O O O O B-state O B-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange
find a reservation far from my work location in eight hours for 8 people at union auto company	O O O B-spatial_relation O B-poi I-poi I-poi B-timeRange I-timeRange I-timeRange O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name
my great grandfather and i would like to get together at a taverna	B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O O O B-restaurant_type
reserve a table at a top-rated restaurant for dinner in twelve hours	O O O O O B-sort B-restaurant_type O O B-timeRange I-timeRange I-timeRange
i need a reservation for eight at the original soup man in northern mariana islands	O O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-state I-state I-state
i need to book a table at bridge round house in south dakota for me emily and gena	O O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state I-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a brasserie in cuney for seven people	O O B-restaurant_type O B-city O B-party_size_number O
book me a table at a top-rated tea house in suriname	O O O O O O B-sort B-restaurant_type I-restaurant_type O B-country
i want to book a restaurant for 6 on january third within walking distance of northvale	O O O O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange B-spatial_relation I-spatial_relation I-spatial_relation O B-poi
book a table for three people at john pearson soda works in mauritius	O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country
book a reservation for a trentino restaurant in kansas	O O O O O B-cuisine B-restaurant_type O B-state
book a restaurant for one in skillman	O O B-restaurant_type O B-party_size_number O B-city
book me a table for five at the top-rated morocco restaurant	O O O O O B-party_size_number O O B-sort B-country B-restaurant_type
book a food truck in argusville that has fish chips	O O B-restaurant_type I-restaurant_type O B-city O O B-served_dish I-served_dish
book a table for eight people at a bar that has steak sauce in half moon american samoa right now	O O O O B-party_size_number O O O B-restaurant_type O O B-served_dish I-served_dish O B-city I-city B-state I-state O B-timeRange
i need a reservation for a restaurant close by their hostel	O O O O O O B-restaurant_type B-spatial_relation I-spatial_relation B-poi I-poi
make me a reservation in nh for a party of two at a restaurant close by	O O O O O B-state O O O O B-party_size_number O O B-restaurant_type B-spatial_relation I-spatial_relation
i want to book a tea house for 4 that serves madeleine	O O O O O B-restaurant_type I-restaurant_type O B-party_size_number O O B-served_dish
i m in bowling green please book a restaurant for 1 close by	O O O B-poi I-poi O O O B-restaurant_type O B-party_size_number B-spatial_relation I-spatial_relation
please make reservations for me and my roommate somewhere in bouvet island	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-country I-country
i need a reservation for claudine kelsey and shelley at a restaurant in palestine	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-country
book a spot for five at a brasserie on jan 7 2023	O O O O B-party_size_number O O B-restaurant_type O B-timeRange I-timeRange I-timeRange
book rosalie stewart and evelyn at a restaurant	O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type
i want to book a pub in ms that serves festoni	O O O O O B-restaurant_type O B-state O O B-served_dish
book bullfeathers	O B-restaurant_name
on dec 13 2018 i need a reservation for four in arizona	O B-timeRange I-timeRange I-timeRange O O O O O B-party_size_number O B-state
book a table for 1 at a restaurant	O O O O B-party_size_number O O B-restaurant_type
find a reservation for a tea house in lorain	O O O O O B-restaurant_type I-restaurant_type O B-city
please book me a reservation this year for a restaurant within the same area of my office	O O O O O B-timeRange I-timeRange O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi
i want to book the commons restaurant for five on dec the eighth	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number O B-timeRange I-timeRange I-timeRange
book a restaurant table at the food court in the spa sixteen hours from now	O O B-restaurant_type O O O B-restaurant_type I-restaurant_type O O B-facility B-timeRange I-timeRange I-timeRange I-timeRange
book a restaurant in hi	O O B-restaurant_type O B-state
book a spot for nine near togo	O O O O B-party_size_number B-spatial_relation B-country
holly and brittany need a reservation for a sardinian tea house close by co	B-party_size_description I-party_size_description I-party_size_description O O O O O B-cuisine B-restaurant_type I-restaurant_type B-spatial_relation I-spatial_relation B-state
need table for two in pleasant city	O O O B-party_size_number O B-city I-city
i want to book a popular fast food food place in mn for my friend and i	O O O O O B-sort B-restaurant_type I-restaurant_type O O O B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a table in alberton for me and my mother in law at a restaurant	O O O O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type
book a reservation for nine at an outdoor restaurant	O O O O B-party_size_number O O B-facility B-restaurant_type
i want to book an indoor brasserie within walking distance in me	O O O O O B-facility B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation O B-state
book coney island neighboring va for marina and i	O B-restaurant_name I-restaurant_name B-spatial_relation B-state O B-party_size_description I-party_size_description I-party_size_description
lets go eat this fall at any restaurant that has parking in finland	O O O B-timeRange I-timeRange O O B-restaurant_type O O B-facility O B-country
book a table for 0 pm in fayette for rachael morris and shannon near there	O O O O B-timeRange I-timeRange O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description B-spatial_relation O
book reservations at a restaurant in ne for 4 people on apr 2 2021	O O O O B-restaurant_type O B-state O B-party_size_number O O B-timeRange I-timeRange I-timeRange
book a restaurant with a pool with alta deborah and bertha in ia	O O B-restaurant_type O O B-facility O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-state
book a brasserie for 3	O O B-restaurant_type O B-party_size_number
book a spot for ten in morris ranch sd on nov the twenty-second 2023	O O O O B-party_size_number O B-city I-city B-state O B-timeRange I-timeRange I-timeRange I-timeRange
book a restaurant for ten people 1 second from now	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange
can you book a table for a party of 6 close to dekalb av	O O O O O O O O O B-party_size_number B-spatial_relation O B-poi I-poi
i want a table for 4 at any kind of goiano bar	O O O O O B-party_size_number O O O O B-cuisine B-restaurant_type
i would like a cafeteria at 10:41:51 am for seven	O O O O B-restaurant_type O B-timeRange I-timeRange O B-party_size_number
make a reservation for hillary dina chavez and alexis	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
i would like reservations for cliff house in seven months for six people	O O O O O B-restaurant_name I-restaurant_name B-timeRange I-timeRange I-timeRange O B-party_size_number O
i would like to book a frozen yogurt restaurant for one	O O O O O O B-served_dish I-served_dish B-restaurant_type O B-party_size_number
i want to book the black cat bar in ar	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state
get me a table for one at a popular brasserie	O O O O O B-party_size_number O O B-sort B-restaurant_type
i need a reservation for the smoking room at a fast food place for 8 people	O O O O O O B-facility I-facility O O B-restaurant_type I-restaurant_type O O B-party_size_number O
book a restaurant for a party of 7 in paraguay on saturday	O O B-restaurant_type O O O O B-party_size_number O B-country O B-timeRange
book on feb the twenty-sixth 2026 in tracyton for two at a cafe	O O B-timeRange I-timeRange I-timeRange I-timeRange O B-city O B-party_size_number O O B-restaurant_type
book a table for me and my crew scheduled for 10:47:15 pm in il	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-timeRange I-timeRange O B-state
make me a reservation for a party of 6 at a pub at five o clock in arizona that serves waffles in the city of hat creek	O O O O O O O O B-party_size_number O O B-restaurant_type O B-timeRange I-timeRange I-timeRange O B-state O O B-served_dish O O O O B-city I-city
i need a table for six pm for me and my step daughter at cafe rouge	O O O O O B-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name
i need a restaurant for a party of three	O O O B-restaurant_type O O O O B-party_size_number
book a food truck in nisswa for 4 at 5 pm	O O B-restaurant_type I-restaurant_type O B-city O B-party_size_number O B-timeRange I-timeRange
find a table for 7 at a joint in ok that s far from here	O O O O B-party_size_number O O B-restaurant_type O B-state O O B-spatial_relation O O
book a maharashtrian restaurant please	O O B-cuisine B-restaurant_type O
make a reservation for 7 people at a gastropub on isle of man	O O O O B-party_size_number O O O B-restaurant_type O B-country I-country I-country
find a table close by in the downtown area for sherri and i	O O O B-spatial_relation I-spatial_relation O O B-poi B-spatial_relation O B-party_size_description I-party_size_description I-party_size_description
i d like a table for three at black rapids roadhouse on february 24th 2039	O O O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange
book reservations at the laurelhurst theater for a party of 7	O O O O B-restaurant_name I-restaurant_name O O O O B-party_size_number
i want to book the best steakhouse with south american cuisines in alaska	O O O O O B-sort B-restaurant_type O B-cuisine I-cuisine O O B-state
get me a table at prospect of whitby in blaine hill id	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city B-state
i want to book the clarke cooke house in uzbekistan	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-country
book a restaurant in michigan for 4 people	O O B-restaurant_type O B-state O B-party_size_number O
table for eight at the berghoff in sistersville in jul	O O B-party_size_number O B-restaurant_name I-restaurant_name O B-city O B-timeRange
i want to book a spot at the local food court	O O O O O O O O O B-restaurant_type I-restaurant_type
book a reservation for a pub serving gateau in ms	O O O O O B-restaurant_type O B-served_dish O B-state
book cova in frisco city for me and therese at eight pm	O B-restaurant_name O B-city I-city O B-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange
please book me a restaurant reservation at first watch in douglas maine	O O O O B-restaurant_type O O B-restaurant_name I-restaurant_name O B-city B-state
book a restaurant for 4 that s not far from ca	O O B-restaurant_type O B-party_size_number O O B-spatial_relation I-spatial_relation O B-state
book the light horse tavern for 4 people	O O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number O
book a spot for 6 at a gateau restaurant	O O O O B-party_size_number O O B-served_dish B-restaurant_type
i want to book a restaurant in bosnia and herzegovina	O O O O O B-restaurant_type O B-country I-country I-country
i need to reserve a table for my baby and i at a tibetan tavern	O O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-cuisine B-restaurant_type
find a table at a joint with northern brazilian food in ga	O O O O O B-restaurant_type O B-cuisine I-cuisine O O B-state
book a table for 5 at a pub during my macedonia trip that serves czech food	O O O O B-party_size_number O O B-restaurant_type O O B-country O O O B-cuisine O
i m in tuolumne city and want fast food for a party of eight	O O O B-city I-city O O B-restaurant_type I-restaurant_type O O O O B-party_size_number
make me a reservation that serves kebab at a delicatessen in ambler	O O O O O O B-served_dish O O B-restaurant_type O B-city
book a bakery that serves souvlaki for tomorrow	O O B-restaurant_type O O B-served_dish O B-timeRange
take me to the top-rated taverna in sealy for trattoria next week for 5	O O O O B-sort B-restaurant_type O B-city O B-cuisine B-timeRange I-timeRange O B-party_size_number
book now at a bakery at a spa	O B-timeRange O O B-restaurant_type O O B-facility
i want a table for eight in yakima rhode island	O O O O O B-party_size_number O B-city B-state I-state
i d like to eat at the best restaurant in coalton	O O O O O O O B-sort B-restaurant_type O B-city
book a reservation for 2 at a food truck with pool in new york	O O O O B-party_size_number O O B-restaurant_type I-restaurant_type O B-facility O B-state I-state
book a table in glennie for 1 in the northern mariana islands	O O O O B-city O B-party_size_number O O B-state I-state I-state
book a spot for seven at a bar with chicken french	O O O O B-party_size_number O O B-restaurant_type O B-served_dish I-served_dish
please book a restaurant for party of 1 in seeley lake on july the fourteenth 2022	O O O B-restaurant_type O O O B-party_size_number O B-city I-city O B-timeRange I-timeRange I-timeRange I-timeRange
book a spot at the red onion in san marino for next week	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-country I-country O B-timeRange I-timeRange
i need to book a tropézienne restaurant six hours from now	O O O O O B-served_dish B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange
book childs restaurants in bruno for 1 person on october 6th 2019	O B-restaurant_name I-restaurant_name O B-city O B-party_size_number O O B-timeRange I-timeRange I-timeRange
need a resevation for a cafeteria stle restaraunt in the country of liberia for a party of 10	O O O O O B-restaurant_type O O O O B-restaurant_name O B-country O O O O B-party_size_number
book a gastropub that serves pansette in skaneateles pennsylvania	O O B-restaurant_type O O B-served_dish O B-city B-state
book a steakhouse with a pool for eight people	O O B-restaurant_type O O B-facility O B-party_size_number O
book me a table at a bistro that serves maple syrup for a party of 10	O O O O O O B-restaurant_type O O B-served_dish I-served_dish O O O O B-party_size_number
i d like to reserve a spot at a bakery in guyana in feb	O O O O O O O O O B-restaurant_type O B-country O B-timeRange
book a molecular gastronomy serving restaurant on march the 20th	O O B-served_dish I-served_dish O B-restaurant_type O B-timeRange I-timeRange I-timeRange
i need a restaurant that can seat 3 in cochran that has wifi	O O O B-restaurant_type O O O B-party_size_number O B-city O O B-facility
book a restaurant for four people in wylliesburg	O O B-restaurant_type O B-party_size_number O O B-city
book me a restaurant in the northern mariana islands	O O O B-restaurant_type O O B-state I-state I-state
i d like to eat at ten pm anywhere neighboring to our house	O O O O O O B-timeRange I-timeRange O B-spatial_relation O B-poi I-poi
book a restaurant for 9 people	O O B-restaurant_type O B-party_size_number O
can you get me a table reserved for three hundred thirty three days from now for eight people at a highly rated fast food place that serves north indian food not distant from moores mill	O O O O O O O O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_number O O O B-sort I-sort B-restaurant_type I-restaurant_type O O O B-cuisine I-cuisine O B-spatial_relation I-spatial_relation O B-city I-city
reserve a table in top of the mark lambertville vermont	O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name B-city B-state
book a restaurant that serves vezione verro one second from now	O O B-restaurant_type O O B-served_dish I-served_dish B-timeRange I-timeRange I-timeRange I-timeRange
book a table at a pub in china	O O O O O B-restaurant_type O B-country
book a spot at an osteria that has goiano in ward springs	O O O O O B-restaurant_type O O B-cuisine O B-city I-city
i would like a restaurant reservation for this year for 4 people	O O O O B-restaurant_type O O B-timeRange I-timeRange O B-party_size_number O
i need reservations at a restaurant at 20 o clock in fm	O O O O O B-restaurant_type O B-timeRange I-timeRange I-timeRange O B-state
book a restaurant for ten people	O O B-restaurant_type O B-party_size_number O
i d like a table for 3 at a brasserie in hillview ne that has mineiro	O O O O O O B-party_size_number O O B-restaurant_type O B-city B-state O O B-cuisine
i need to get a restaurant reserved in sd	O O O O O B-restaurant_type O O B-state
book a northeastern brazilian restaurant for 10 am	O O B-cuisine I-cuisine B-restaurant_type O B-timeRange I-timeRange
i need seats for 6 at a place in ak	O O O O B-party_size_number O O O O B-state
book a spot for selma and molly at a steakhouse with saucisse that is close-by mcsherrystown	O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-served_dish O O B-spatial_relation B-poi
i want to book a food court for 5 at 1 am	O O O O O B-restaurant_type I-restaurant_type O B-party_size_number O B-timeRange I-timeRange
book in rocky mound for four 1 hour from now	O O B-city I-city O B-party_size_number B-timeRange I-timeRange I-timeRange I-timeRange
book tun tavern for morning in norfolk island	O B-restaurant_name I-restaurant_name O B-timeRange O B-country I-country
book for one in indiana at a restaurant	O O B-party_size_number O B-state O O B-restaurant_type
book a table for 9 scheduled for april the 8th in nj	O O O O B-party_size_number O O B-timeRange I-timeRange I-timeRange O B-state
i want to book an indonesian food truck	O O O O O B-cuisine B-restaurant_type I-restaurant_type
book a popular restaurant for two which is distant from avalon	O O B-sort B-restaurant_type O B-party_size_number O O B-spatial_relation O B-poi
book a restaurant on martin luther king jr day with parking	O O B-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange O B-facility
book a highly rated bar in burkina for georgia and i	O O B-sort I-sort B-restaurant_type O B-country O B-party_size_description I-party_size_description I-party_size_description
book a table for 4 in california	O O O O B-party_size_number O B-state
book a table for 10 people at dunbrody country house hotel in strandburg	O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-city
book the boon brick store for nine people	O O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number O
i need a table at t-rex for nine in brunei	O O O O O B-restaurant_name O B-party_size_number O B-country
book me a reservation at a burger joint close-by choate on july 16th 2022	O O O O O O B-served_dish B-restaurant_type B-spatial_relation B-city O B-timeRange I-timeRange I-timeRange
book a table for june the thirteenth 2033 in saint barthélemy for 6 at an indoor tea house	O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-country I-country O B-party_size_number O O B-facility B-restaurant_type I-restaurant_type
i want jean-georges for a party of 2	O O B-restaurant_name O O O O B-party_size_number
book a brasserie for me and my team at four am	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange
please reserve a table at the food truck in wheeler for december 4th 2019	O O O O O O B-restaurant_type I-restaurant_type O B-city O B-timeRange I-timeRange I-timeRange
renee sanders marlene and jewel want to go to a gastropub in the spa	B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-restaurant_type O O B-facility
book a reservation for 7 people at the french laundry on june the 8th 2029	O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange I-timeRange
book a table at one o clock at a bar that has parking	O O O O B-timeRange I-timeRange I-timeRange O O B-restaurant_type O O B-facility
find a reservation for a highly rated brasserie for me and my step sister	O O O O O B-sort I-sort B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a spot for 6 at a tea house in tokelau	O O O O B-party_size_number O O B-restaurant_type I-restaurant_type O B-country
book a tavern in colorado for two	O O B-restaurant_type O B-state O B-party_size_number
book a spot in 1 second that is neighboring robin s hotel	O O O B-timeRange I-timeRange I-timeRange O O B-spatial_relation B-poi I-poi I-poi
i d like a table for two at a place in west whittier nevada on indigenous people s day	O O O O O O B-party_size_number O O O O B-city I-city B-state O B-timeRange I-timeRange I-timeRange I-timeRange
i would like to book a restaurant for 9 on dec 13	O O O O O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange
can you book me a table for 9 in de	O O O O O O O B-party_size_number O B-state
book for six on jan 18 2029	O O B-party_size_number O B-timeRange I-timeRange I-timeRange
book a stracciatella provider coffeehouse for 10	O O B-served_dish O B-restaurant_type O B-party_size_number
i would like reservations to a popular pub in burkina for 10 people	O O O O O O B-sort B-restaurant_type O B-country O B-party_size_number O
book at tavern on the green for in 1 minute in co	O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange O B-state
reserve me a table a bar that serves african food for thirteen o clock for 1 in moravian falls	O O O O O B-restaurant_type O O B-cuisine O O B-timeRange I-timeRange I-timeRange O B-party_size_number O B-city I-city
please make reservations for three at a kosher taverna nearby our secondary residence	O O O O B-party_size_number O O B-cuisine B-restaurant_type B-spatial_relation B-poi I-poi I-poi
book a pizza serving tavern for me and my brother	O O B-served_dish O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a table for 2 at a highly rated restaurant within walking distance of taverna ok	O O O O B-party_size_number O O B-sort I-sort B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation O B-restaurant_type B-state
book a table for my granddaughter and i at the restaurant	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type
book the crown at whitebrook in the solomon islands for dec the twenty-third 2029	O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O O B-country I-country O B-timeRange I-timeRange I-timeRange I-timeRange
book a churrascaria restaurant for 2 which serves mezes	O O B-restaurant_type I-restaurant_type O B-party_size_number O O B-served_dish
