i want to fly from baltimore to dallas round trip	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
list the flights between san jose and houston	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
find me flights that are nonstop between boston and dallas	O O O O O B-flight_stop O B-fromloc.city_name O B-toloc.city_name
find the cheapest one way fare from boston to oakland	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
i'd like a flight tomorrow from san diego to toronto	O O O O B-depart_date.today_relative O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
what are the flights from kansas city to burbank on saturday may twenty two on america west	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O B-airline_name I-airline_name
show me the flights from philadelphia to baltimore	O O O O O B-fromloc.city_name O B-toloc.city_name
what are the early weekday flights from san francisco to pittsburgh	O O O B-flight_mod O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
flights from indianapolis to seattle washington	O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name
flights from atlanta to washington dc on thursday morning	O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name B-depart_time.period_of_day
flights from phoenix to las vegas	O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
now show me the flights from denver to philadelphia on a saturday	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name
please give me the prices for all flights from philadelphia to denver airport next sunday	O O O O O O O O O B-fromloc.city_name O B-toloc.airport_name I-toloc.airport_name B-depart_date.date_relative B-depart_date.day_name
show me the flights from baltimore to boston	O O O O O B-fromloc.city_name O B-toloc.city_name
on eastern flight 825 flying from atlanta to denver can you tell me what type of aircraft is used on a flight when it leaves at 555	O B-airline_name O B-flight_number O O B-fromloc.city_name O B-toloc.city_name O O O O O O O O O O O O O O O O O B-depart_time.time
what flights from burbank to milwaukee leave burbank tomorrow	O O O B-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name B-depart_date.today_relative
show all airlines flying from pittsburgh to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
is there ground transportation from the milwaukee airport to the downtown area	O O O O O O B-airport_name I-airport_name O O O O
i want to fly from atlanta to philadelphia nonstop	O O O O O B-fromloc.city_name O B-toloc.city_name B-flight_stop
what is the cheapest flight from washington to san francisco on friday	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
could you give me the schedule of flights for american and delta to dfw on august fifteenth	O O O O O B-flight_time O O O B-airline_name O B-airline_name O B-toloc.airport_code O B-depart_date.month_name B-depart_date.day_number
what is the cost for these flights from baltimore to philadelphia	O O O O O O O O B-fromloc.city_name O B-toloc.city_name
i want to travel from philadelphia to san francisco with a stopover in dallas	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
show me all flights both direct and connecting from dallas fort worth to either san francisco or oakland that depart after 7 pm	O O O O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name I-toloc.city_name B-or B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
show me all flights from pittsburgh to dallas	O O O O O B-fromloc.city_name O B-toloc.city_name
dallas to san francisco leaving after 4 in the afternoon please	B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.time_relative B-depart_time.time O O B-depart_time.period_of_day O
i'm trying to make a connection between denver and san francisco does delta airline fly between those two	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name O O O O
is there a flight around 3 pm from charlotte to minneapolis	O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name
flights from long beach to nashville	O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
what is the cheapest flight from long beach to memphis	O O O B-cost_relative O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
show me all the flights from boston to denver that serve lunch	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-meal_description
what is the latest flight leaving newark for los angeles wednesday	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name
flight from philadelphia to dallas arriving before 4 pm on saturday	O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.day_name
what is fare code f	O O O O B-fare_basis_code
how many fare codes belong to economy class	O O O O O O B-economy I-economy
show me the cheapest round trip fare from baltimore to dallas	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
which northwest flights stop in denver before noon	O B-airline_name O O O B-stoploc.city_name B-depart_time.time_relative B-depart_time.time
what are the most expensive first class tickets between atlanta and dallas	O O O B-cost_relative I-cost_relative B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name
fly from denver to philadelphia on continental	O O B-fromloc.city_name O B-toloc.city_name O B-airline_name
give me nonstop flights from new york city to las vegas	O O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the cheapest fare one way between pittsburgh and denver	O O O B-cost_relative O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name
list daily flights from oakland to boston using continental airlines	O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
what is the earliest flight that i can get from bwi to boston logan	O O O B-flight_mod O O O O O O B-fromloc.airport_code O B-toloc.city_name B-toloc.airport_name
what northwest airline flights leave denver before noon	O B-airline_name I-airline_name O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time
list the nonstop flights from denver to washington dc	O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code
i would like a nonstop flight between pittsburgh and philadelphia leaving in the afternoon and arriving in the vicinity of 5 pm	O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.period_of_day O O O O B-arrive_time.time_relative O B-arrive_time.time I-arrive_time.time
show me the flights from pittsburgh to baltimore	O O O O O B-fromloc.city_name O B-toloc.city_name
do i get a meal on the atlanta to bwi flight eastern 210	O O O O B-meal O O B-fromloc.city_name O B-toloc.airport_code O B-airline_name B-flight_number
is there an atlanta flight to denver connecting	O O O B-fromloc.city_name O O B-toloc.city_name B-connect
what is the cheapest one way ticket from denver to pittsburgh	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
i want to go between boston and washington early in the morning	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.period_mod O O B-depart_time.period_of_day
what are the flights from boston to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what's the last flight leaving from pittsburgh to oakland	O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name
all round trip flights between new york and miami that are first class	O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-class_type I-class_type
show me the flights from boston to pittsburgh on wednesdays and thursdays	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.day_name
what are the flights on january first 1992 from boston to san francisco	O O O O O B-depart_date.month_name B-depart_date.day_number B-depart_date.year O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i'd like to have flight from denver to pittsburgh	O O O O O O B-fromloc.city_name O B-toloc.city_name
show me all flights arriving to denver from oakland	O O O O O O B-toloc.city_name O B-fromloc.city_name
give me the flights from milwaukee to st. louis leaving sunday morning	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
yes what flights will be used on july seventh in the morning from atlanta to boston	O O O O O O O B-depart_date.month_name B-depart_date.day_number O O B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name
show me the flights from new york to los angeles with stop in milwaukee	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name
show me flights from pittsburgh to san francisco	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
round trip houston to las vegas nonstop	B-round_trip I-round_trip B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-flight_stop
what is the earliest flight from ontario to memphis	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
what's the lowest round trip fare from dallas to atlanta	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
what flights are available from denver to philadelphia on wednesday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
show me airlines going from pittsburgh going to denver and then continuing to san francisco on monday	O O O O O B-fromloc.city_name O O B-toloc.city_name O O O O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
please show me all the flights from indianapolis to san diego tomorrow	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.today_relative
all flights and fares from denver to pittsburgh on us air number 1039 on a thursday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O B-flight_number O O B-depart_date.day_name
list least expensive flight from dallas to baltimore	O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name
give me the flights from pittsburgh to los angeles thursday evening	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day
how much is a first class ticket from washington to san francisco leaving on friday	O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.day_name
give me the least expensive first class round trip ticket on us air from cleveland to miami	O O O B-cost_relative I-cost_relative B-class_type I-class_type B-round_trip I-round_trip O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name
okay i need to get a flight from houston to seattle	O O O O O O O O B-fromloc.city_name O B-toloc.city_name
what are the flights from kansas city to burbank on saturday may twenty two on southwest	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O B-airline_name
please list the flight times from newark to boston	O O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name
all flights from boston to washington	O O O B-fromloc.city_name O B-toloc.city_name
show me fares less than 400 dollars for flights from dallas to baltimore	O O O B-cost_relative O B-fare_amount I-fare_amount O O O B-fromloc.city_name O B-toloc.city_name
a first class flight to san francisco on american airlines tuesday next week	O B-class_type I-class_type O O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name B-depart_date.day_name B-depart_date.date_relative O
show all flights between san francisco and philadelphia for september fifteenth	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
what is the earliest american airlines flight leaving philadelphia for dallas	O O O B-flight_mod B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name
i want all flights from atlanta to washington dc on thursday	O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name
what is the earliest flight from boston to philadelphia	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
show me the flights from baltimore to atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name
i need to fly from washington to san francisco but i'd like to stop over at dallas can you tell me a schedule of flights that will do that	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O O O B-stoploc.city_name O O O O O B-flight_time O O O O O O
i would like to know if i fly on american flight number 813 from boston to oakland if i will stop enroute at another city	O O O O O O O O O B-airline_name O B-flight_number O O B-fromloc.city_name O B-toloc.city_name O O O O O O O O
is there an airport limousine at the atlanta airport	O O O B-transport_type I-transport_type O O B-airport_name I-airport_name
please list the morning flights from kansas city to atlanta	O O O B-depart_time.period_of_day O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
from denver to baltimore	O B-fromloc.city_name O B-toloc.city_name
what's the cheapest one way flight from denver to pittsburgh	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
show me one way flights from milwaukee to orlando leaving on wednesday morning	O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day
what are the flights from cleveland to indianapolis on wednesday may twelfth on either twa delta or continental	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O O B-airline_code B-airline_name B-or B-airline_name
how many cities are served by continental with first class flights	O O O O O O B-airline_name O B-class_type I-class_type O
eastern flight 825 from atlanta to denver leaving at 555 what type of aircraft is used on that flight	B-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time O O O O O O O O O
show me the flights leaving from love field	O O O O O O B-fromloc.airport_name I-fromloc.airport_name
what's the next smallest plane after a turboprop	O O O B-mod O O O O
give me the flights from baltimore to pittsburgh	O O O O O B-fromloc.city_name O B-toloc.city_name
information on american airline flights from washington to philadelphia early morning times of flight	O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name B-depart_time.period_of_day B-depart_time.period_of_day B-flight_time I-flight_time I-flight_time
show me flights from baltimore to philadelphia	O O O O B-fromloc.city_name O B-toloc.city_name
on the flight from baltimore to san francisco on us air leaving at 420 what type of aircraft is used	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name O O B-depart_time.time O O O O O O
i'd like the earliest flight information from boston to san francisco with a meal	O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-meal
which airlines have first class flights today	O O O B-class_type I-class_type O B-depart_date.today_relative
show me ground transportation information for pittsburgh	O O O O O O B-city_name
i want to fly from detroit to st. petersburg on northwest airlines and leave around 9 am tell me what aircraft are used by this flight and tell me the flight number	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O O O O O O O O O O O O O
show me all flights that go from new york to miami on tuesday and go from miami to new york on sunday	O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
information on flights from pittsburgh to philadelphia	O O O O B-fromloc.city_name O B-toloc.city_name
show me all flights from philadelphia to san francisco with one stop in dallas	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-flight_stop I-flight_stop O B-stoploc.city_name
show me flights from denver to dc on wednesday	O O O O B-fromloc.city_name O B-toloc.state_code O B-depart_date.day_name
can you list all round trip flights from orlando to kansas city and then to minneapolis	O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-toloc.city_name
show me the flights from love field	O O O O O B-fromloc.airport_name I-fromloc.airport_name
i want a nonstop flight from indianapolis to toronto that leaves thursday morning	O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.day_name B-arrive_time.period_of_day
show flights from denver to oakland arriving between 12 and 1 o'clock	O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time
what are the nonstop flights from kansas city to burbank arriving on saturday may twenty two	O O O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-arrive_date.day_name B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number
show me the cheapest round trip fares from san francisco to salt lake city	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
also show me flights from san francisco to pittsburgh on tuesday	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what is the cheapest one way fare from san francisco to boston on wednesday august twenty first	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
show me all flights from san francisco to new york nonstop	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-flight_stop
we're going from denver to san francisco	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me the flights from miami to san diego with one stop in denver	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-flight_stop I-flight_stop O B-stoploc.city_name
nonstop or connecting flights from seattle to boston	B-flight_stop B-or B-connect O O B-fromloc.city_name O B-toloc.city_name
show me flights from denver to boston on tuesday	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what is the smallest aircraft available to fly on from pittsburgh to baltimore	O O O B-mod O O O O O O B-fromloc.city_name O B-toloc.city_name
show me flights from pittsburgh to dc	O O O O B-fromloc.city_name O B-toloc.state_code
show me all flights from phoenix to milwaukee on wednesday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what are the flights from las vegas to burbank on saturday may twenty two	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
what's the first flight from boston to san francisco	O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me all flights from new york to miami leaving on a tuesday and returning on sunday	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-depart_date.day_name O O O B-return_date.day_name
please list all flights between boston and san francisco nonstop	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-flight_stop
show me the flights from denver to westchester county	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the seating capacity of the various airplanes that united airlines uses	O O O O O O O O O O B-airline_name I-airline_name O
show me the flights from westchester county to cincinnati	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
what is the least expensive one way fare from boston to pittsburgh	O O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
what airlines fly from boston to san francisco	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what does code yn mean	O O O B-fare_basis_code O
what flights do you have from baltimore to san francisco	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
is there transportation from the atlanta airport to downtown atlanta	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
is there a meal on delta flight 852 from san francisco to dallas fort worth	O O O B-meal O B-airline_name O B-flight_number O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
show me the airfare from pittsburgh to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
give me flights from pittsburgh to baltimore	O O O O B-fromloc.city_name O B-toloc.city_name
what is the last flight from dallas to boston	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
what flights go from philadelphia to san francisco with a stopover in dallas	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
please give me ground transportation information for denver	O O O O O O O B-city_name
what ground transport is available in charlotte	O O O O O O B-city_name
what are the flights available between 10 am and 3 pm between pittsburgh and fort worth	O O O O O O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
please tell me the type of aircraft used from atlanta to denver before 12 o'clock noon	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time
american flights from san francisco please	B-airline_name O O B-fromloc.city_name I-fromloc.city_name O
show me the flights from philadelphia to atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name
display all fare codes	O O O O
round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars	B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount
show me the flights next tuesday between philadelphia and san francisco	O O O O B-depart_date.date_relative B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i would like to fly to denver for under 500 dollars please show me the airfares between pittsburgh and denver	O O O O O O B-toloc.city_name O B-cost_relative B-fare_amount I-fare_amount O O O O O O B-fromloc.city_name O B-toloc.city_name
what is as	O O B-airline_code
can you list all the airlines that have flights from boston to san francisco	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
how can i get from boston to atlanta and back in the same day and have the most hours on the ground in atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-return_date.date_relative O O O O O O O O O B-toloc.city_name
show me the flights leaving charlotte to atlanta around 7 pm next tuesday	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time B-depart_date.date_relative B-depart_date.day_name
i now need a flight from san jose to houston leaving on sunday the fourth	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O B-depart_date.day_number
i'd like information on boston to washington	O O O O B-fromloc.city_name O B-toloc.city_name
what ground transportation is available in pittsburgh	O O O O O O B-city_name
which airlines fly from boston to washington dc	O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code
show me the flights from baltimore to boston	O O O O O B-fromloc.city_name O B-toloc.city_name
what flights do you have from boston to pittsburgh on wednesday of next week after 6 pm	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.date_relative O B-depart_time.time_relative B-depart_time.time I-depart_time.time
show me the flights out of love field	O O O O O O B-fromloc.airport_name I-fromloc.airport_name
i need a flight from newark to los angeles leaving tomorrow evening	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.today_relative B-depart_time.period_of_day
flights from montreal	O O B-fromloc.city_name
what pm flights are available from philadelphia to pittsburgh	O B-depart_time.period_of_day O O O O B-fromloc.city_name O B-toloc.city_name
show me flights from denver to philadelphia	O O O O B-fromloc.city_name O B-toloc.city_name
i'd like flight information between boston and washington september third	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.month_name B-depart_date.day_number
i'd like to fly from minneapolis to long beach two days from today in the early morning	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.date_relative O O B-depart_date.today_relative O O B-depart_time.period_of_day B-depart_time.period_of_day
how many fares are there one way from tacoma to montreal	O O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name
show me the flights from atlanta to boston	O O O O O B-fromloc.city_name O B-toloc.city_name
list all the landings at general mitchell international	O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name
which northwest and united flights go through denver before noon	O B-airline_name O B-airline_name O O O B-stoploc.city_name B-depart_time.time_relative B-depart_time.time
round trip fares from baltimore to philadelphia under 1000 dollars	B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount
morning flight from dallas to atlanta	B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
what is fare code fn	O O O O B-fare_basis_code
i would like a flight from pittsburgh to san francisco on august twentieth	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
what are my meal options from boston to denver	O O O B-meal O O B-fromloc.city_name O B-toloc.city_name
i want to fly from miami to chicago on american airlines and arrive at around 5 o'clock in the afternoon show me all flights	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day O O O O
show me all flights from pittsburgh which leave tomorrow and arrive in boston	O O O O O B-fromloc.city_name O O B-depart_date.today_relative O O O B-toloc.city_name
flights from indianapolis to seattle	O O B-fromloc.city_name O B-toloc.city_name
newark to cleveland	B-fromloc.city_name O B-toloc.city_name
list flights from boston to san francisco that serve only breakfast	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-meal_description
show me flights from los angeles to pittsburgh for tuesday	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
are there any flights from chicago to minneapolis on saturday on continental	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-airline_name
all flights from boston to washington dc after 5 pm on november eleventh economy class	O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.month_name B-depart_date.day_number B-economy I-economy
list all day time flights from pittsburgh to boston	O O B-flight_mod I-flight_mod O O B-fromloc.city_name O B-toloc.city_name
when are the american flights from phoenix to milwaukee	O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name
give me the flights from washington dc to philadelphia for december second	O O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
boston to denver monday	B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name
show me the flights on delta or twa which go through atlanta	O O O O O B-airline_name B-or B-airline_code O O O B-stoploc.city_name
is there a plane from boston to washington	O O O O O B-fromloc.city_name O B-toloc.city_name
what ground transportation is available in san francisco	O O O O O O B-city_name I-city_name
show afternoon flights from dallas to san francisco	O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
shortest evening flight from tampa to cincinnati	B-flight_mod B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
i want to leave chicago next tuesday and arrive in detroit around 6 pm	O O O O B-fromloc.city_name B-depart_date.date_relative B-depart_date.day_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
all flights from pittsburgh to philadelphia that arrive at 6 o'clock next tuesday	O O O B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name
find the latest flight from san francisco to atlanta that serves a meal	O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-meal
i would like to book a flight from baltimore to newark early in the morning on april ninth	O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.period_mod O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number
flights from newark new jersey to cleveland ohio	O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name B-toloc.state_name
show me the flights from boston to oakland	O O O O O B-fromloc.city_name O B-toloc.city_name
how much is the cheapest flight from denver to pittsburgh with a stop in atlanta	O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name
please list the flight times from pittsburgh to newark	O O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name
show me the cheapest one way flights from dallas to san francisco leaving dallas after 4 pm	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time
give me a flight from tampa to charlotte on sunday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
i want a flight from los angeles to charlotte that leaves on a weekday morning	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-depart_date.day_name B-depart_time.period_of_day
show me all direct flights from dallas fort worth to either san francisco or oakland	O O O B-connect O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name I-toloc.city_name B-or B-toloc.city_name
list types of planes that fly between pittsburgh and baltimore	O O O O O O O B-fromloc.city_name O B-toloc.city_name
please give me flights available from denver to philadelphia	O O O O O O B-fromloc.city_name O B-toloc.city_name
show me flights leaving from dallas to baltimore	O O O O O B-fromloc.city_name O B-toloc.city_name
price of flight from cleveland to nashville	O O O O B-fromloc.city_name O B-toloc.city_name
